	STI	Seats	Volume	Oc_Density	T60_125	T60_250	T60_500	T60_1000	T60_2000	T60_4000	T60_8000
Newman	0.77	200	3350	0.06	2.02	1.48	1.57	1.67	1.53	1.38	0.98
Newman	0.77	200	3350	0.06	2.12	1.43	1.57	1.87	1.58	1.33	0.991
Newman	0.63	200	3350	0.06	1.95	1.37	1.696	1.73	1.66	1.41	0.99
Newman	0.55	200	3350	0.06	1.85	1.6	1.757	1.73	1.63	1.41	0.959
Hormel	0.6	300	1710	0.18	1.52	1.19	1.14	1.19	1.14	1.03	0.806
Hormel	0.58	300	1710	0.18	1.94	1.28	1.04	1.14	1.19	1.02	0.759
Hormel	0.62	300	1710	0.18	1.89	1.49	1.06	1.09	1.14	1.04	0.854
Hormel	0.82	300	1710	0.18	1.51	1.33	0.996	1.04	1.14	1.04	0.901
Clarke	0.7	147	1300	0.11	0.981	0.755	0.83	0.815	0.755	0.679	0.528
Clarke	0.64	147	1300	0.11	0.924	0.894	0.701	0.775	0.745	0.701	0.552
Clarke	0.69	147	1300	0.11	1.1	0.906	0.679	0.83	0.83	0.679	0.604
Clarke	0.64	147	1300	0.11	0.917	0.827	0.76	0.783	0.767	0.679	0.566
Gusman	0.43	600	5500	0.11	2.15	1.61	1.86	2.01	1.94	1.59	0.949
Gusman	0.37	600	5500	0.11	2.08	1.77	1.88	2.03	1.86	1.61	0.939
Gusman	0.31	600	5500	0.11	2.23	1.86	1.83	1.94	1.94	1.61	0.949
Gusman	0.32	600	5500	0.11	2.03	1.83	1.88	1.99	1.9	1.64	0.968
